Name,YrBorn,YrDeath,Age_at_death,Genre
Lorez Alexandria ,1929,2001,72,Jazz vocalist
Ernestine Anderson ,1928,2016,88,Jazz vocalist
Ivy Anderson ,1904,1949,45,Jazz vocalist
Louis Armstrong ,1901,1971,70,Jazz vocalist
Fred Astaire ,1899,1987,88,Jazz vocalist
Ethel Azama ,1934,1984,50,Jazz vocalist
Harry Babbitt ,1913,2004,91,Jazz vocalist
Mildred Bailey ,1907,1951,44,Jazz vocalist
Pearl Bailey ,1918,1990,72,Jazz vocalist
Belle Baker ,1893,1957,64,Jazz vocalist
Bonnie Baker ,1917,1990,73,Jazz vocalist
Chet Baker ,1929,1988,59,Jazz vocalist
Josephine Baker ,1906,1975,69,Jazz vocalist
Sathima Bea Benjamin ,1936,2013,77,Jazz vocalist
Tex Beneke ,1914,2000,86,Jazz vocalist
Polly Bergen ,1930,2014,84,Jazz vocalist
Connee Boswell ,1907,1976,69,Jazz vocalist
Al Bowlly ,1899,1941,42,Jazz vocalist
Teresa Brewer ,1931,2007,76,Jazz vocalist
"Oscar Brown, Jr ",1926,2005,79,Jazz vocalist
Ruth Brown ,1928,2006,78,Jazz vocalist
Beryl Bryden ,1920,1998,78,Jazz vocalist
Blanche Calloway ,1904,1978,74,Jazz vocalist
Cab Calloway ,1907,1994,87,Jazz vocalist
Eddie Cantor ,1892,1964,72,Jazz vocalist
Una Mae Carlisle ,1915,1956,41,Jazz vocalist
Hoagy Carmichael ,1899,1981,82,Jazz vocalist
Georgia Carroll ,1919,2011,92,Jazz vocalist
Betty Carter ,1930,1998,68,Jazz vocalist
Eva Cassidy ,1963,1996,33,Jazz vocalist
Ray Charles ,1930,2004,74,Jazz vocalist
June Christy ,1925,1990,65,Jazz vocalist
Buddy Clark ,1912,1949,37,Jazz vocalist
Russ Columbo ,1908,1934,26,Jazz vocalist
Chris Connor ,1927,2009,82,Jazz vocalist
Rosemary Clooney ,1928,2002,74,Jazz vocalist
Natalie Cole ,1950,2015,65,Jazz vocalist
Nat King Cole ,1919,1965,46,Jazz vocalist
Perry Como ,1912,2001,89,Jazz vocalist
Chris Connor ,1927,2009,82,Jazz vocalist
Barbara Cook ,1927,2017,90,Jazz vocalist
Sam Cooke ,1931,1964,33,Jazz vocalist
Bing Crosby ,1903,1977,74,Jazz vocalist
Vic Damone ,1928,2018,90,Jazz vocalist
Dorothy Dandridge ,1922,1965,43,Jazz vocalist
Vivian Dandridge ,1921,1991,70,Jazz vocalist
Billy Daniels ,1915,1988,73,Jazz vocalist
Maxine Daniels ,1930,2003,73,Jazz vocalist
Bobby Darin ,1936,1973,37,Jazz vocalist
"Sammy Davis, Jr. ",1925,1990,65,Jazz vocalist
Blossom Dearie ,1928,2009,81,Jazz vocalist
Johnny Desmond ,1919,1985,66,Jazz vocalist
Marlene Dietrich ,1901,1992,91,Jazz vocalist
Dorothy Donegan ,1922,1998,76,Jazz vocalist
George Duke ,1946,2013,67,Jazz vocalist
Ray Eberle ,1919,1979,60,Jazz vocalist
Bob Eberly ,1916,1981,65,Jazz vocalist
Billy Eckstine ,1914,1993,79,Jazz vocalist
Duke Ellington ,1899,1974,75,Jazz vocalist
Ruth Etting ,1897,1978,81,Jazz vocalist
Alice Faye ,1915,1998,83,Jazz vocalist
Frances Faye ,1912,1991,79,Jazz vocalist
Eddie Fisher ,1928,2010,82,Jazz vocalist
Ella Fitzgerald ,1917,1996,79,Jazz vocalist
Mary Ford ,1924,1977,53,Jazz vocalist
Tennessee Ernie Ford ,1919,1991,72,Jazz vocalist
Helen Forrest ,1917,1999,82,Jazz vocalist
Aretha Franklin ,1942,2018,76,Jazz vocalist
Jane Froman ,1906,1980,74,Jazz vocalist
Slim Gaillard ,1916,1991,75,Jazz vocalist
Kenny Gardner ,1913,2002,89,Jazz vocalist
Judy Garland ,1922,1969,47,Jazz vocalist
John Gary ,1932,1998,66,Jazz vocalist
Georgia Gibbs ,1919,2006,87,Jazz vocalist
Nat Gonella ,1908,1998,90,Jazz vocalist
Eydie Gormé ,1928,2013,85,Jazz vocalist
Robert Goulet ,1933,2007,74,Jazz vocalist
Dolores Gray ,1924,2002,78,Jazz vocalist
Buddy Greco ,1926,2017,91,Jazz vocalist
Jo Ann Greer ,1927,2001,74,Jazz vocalist
Adelaide Hall ,1901,1993,92,Jazz vocalist
Annette Hanshaw ,1901,1985,84,Jazz vocalist
Marion Harris ,1896,1944,48,Jazz vocalist
Johnny Hartman ,1923,1983,60,Jazz vocalist
Donny Hathaway ,1945,1979,34,Jazz vocalist
Tim Hauser ,1941,2014,73,Jazz vocalist
Dick Haymes ,1918,1980,62,Jazz vocalist
Jon Hendricks ,1921,2017,96,Jazz vocalist
Bill Henderson ,1926,2016,90,Jazz vocalist
Donna Hightower ,1926,2013,87,Jazz vocalist
Hildegarde ,1906,2005,99,Jazz vocalist
Billie Holiday ,1915,1959,44,Jazz vocalist
Libby Holman ,1904,1971,67,Jazz vocalist
Linda Hopkins ,1924,2017,93,Jazz vocalist
Shirley Horn ,1934,2005,71,Jazz vocalist
Lena Horne ,1917,2010,93,Jazz vocalist
Helen Humes ,1913,1991,78,Jazz vocalist
Alberta Hunter ,1895,1984,89,Jazz vocalist
Betty Hutton ,1921,2007,86,Jazz vocalist
June Hutton ,1919,1973,54,Jazz vocalist
Phyllis Hyman ,1949,1995,46,Jazz vocalist
Eddie Jefferson ,1918,1979,61,Jazz vocalist
Herb Jeffries ,1913,2014,101,Jazz vocalist
Al Jolson ,1886,1950,64,Jazz vocalist
Etta Jones ,1928,2001,73,Jazz vocalist
Louis Jordan ,1908,1975,67,Jazz vocalist
Greta Keller ,1903,1977,74,Jazz vocalist
Beverly Kenney ,1932,1960,28,Jazz vocalist
Morgana King ,1930,2018,88,Jazz vocalist
Eartha Kitt ,1927,2008,81,Jazz vocalist
Evelyn Knight ,1917,2007,90,Jazz vocalist
Frankie Laine ,1913,2007,94,Jazz vocalist
Dave Lambert ,1917,1966,49,Jazz vocalist
Frances Langford ,1913,2005,92,Jazz vocalist
Barbara Lea ,1929,2011,82,Jazz vocalist
Peggy Lee ,1920,2002,82,Jazz vocalist
Ted Lewis ,1892,1971,79,Jazz vocalist
Abbey Lincoln ,1930,2010,80,Jazz vocalist
Ella Logan ,1910,1969,59,Jazz vocalist
Julie London ,1926,2000,74,Jazz vocalist
Nick Lucas ,1897,1982,85,Jazz vocalist
Jon Lucien ,1942,2007,65,Jazz vocalist
Nellie Lutcher ,1912,2007,95,Jazz vocalist
Gloria Lynne ,1929,2013,84,Jazz vocalist
Gordon MacRae ,1921,1986,65,Jazz vocalist
Rose Marie ,1923,2017,94,Jazz vocalist
Dean Martin ,1917,1995,78,Jazz vocalist
Tony Martin ,1913,2012,99,Jazz vocalist
Al Martino ,1927,2009,82,Jazz vocalist
Susannah McCorkle ,1946,2001,55,Jazz vocalist
Carmen McRae ,1920,1994,74,Jazz vocalist
George Melly ,1926,2007,81,Jazz vocalist
Johnny Mercer ,1909,1976,67,Jazz vocalist
Mabel Mercer ,1900,1984,84,Jazz vocalist
George Michael ,1963,2016,53,Jazz vocalist
Guy Mitchell ,1927,1999,72,Jazz vocalist
Matt Monro ,1930,1985,55,Jazz vocalist
Helen Morgan ,1900,1941,41,Jazz vocalist
Ella Mae Morse ,1924,1999,75,Jazz vocalist
Lee Morse ,1897,1954,57,Jazz vocalist
Mark Murphy ,1932,2015,83,Jazz vocalist
Anthony Newley ,1931,1999,68,Jazz vocalist
Gertrude Niesen ,1911,1975,64,Jazz vocalist
Laura Nyro ,1947,1997,50,Jazz vocalist
Helen O'Connell ,1920,1993,73,Jazz vocalist
Anita O'Day ,1919,2006,87,Jazz vocalist
Patti Page ,1927,2013,86,Jazz vocalist
Robert Palmer ,1949,2003,54,Jazz vocalist
John Payne ,1912,1989,77,Jazz vocalist
Esther Phillips ,1935,1984,49,Jazz vocalist
King Pleasure ,1922,1982,60,Jazz vocalist
Louis Prima ,1910,1978,68,Jazz vocalist
Arthur Prysock ,1924,1997,73,Jazz vocalist
Ma Rainey ,1886,1939,53,Jazz vocalist
John Raitt ,1917,2005,88,Jazz vocalist
Lou Rawls ,1933,2006,73,Jazz vocalist
Johnnie Ray ,1927,1990,63,Jazz vocalist
Martha Raye ,1916,1994,78,Jazz vocalist
Lucy Reed ,1921,1998,77,Jazz vocalist
Della Reese ,1931,2017,86,Jazz vocalist
Rita Reys ,1924,2013,89,Jazz vocalist
Betty Jane Rhodes ,1921,2011,90,Jazz vocalist
Buddy Rich ,1917,1987,70,Jazz vocalist
Ann Richards ,1935,1982,47,Jazz vocalist
June Richmond ,1915,1962,47,Jazz vocalist
Mavis Chloe Rivers ,1929,1992,63,Jazz vocalist
Jimmy Rushing ,1902,1972,70,Jazz vocalist
Andy Russell ,1919,1992,73,Jazz vocalist
Jean Sablon ,1906,1994,88,Jazz vocalist
Hazel Scott ,1920,1981,61,Jazz vocalist
Jimmy Scott ,1925,2014,89,Jazz vocalist
Gil Scott,1949,2011,62,Jazz vocalist
Dinah Shore ,1916,1994,78,Jazz vocalist
Bobby Short ,1924,2005,81,Jazz vocalist
Ginny Simms ,1913,1994,81,Jazz vocalist
Nina Simone ,1933,2003,70,Jazz vocalist
Bessie Smith ,1894,1937,43,Jazz vocalist
Kate Smith ,1907,1986,79,Jazz vocalist
Keely Smith ,1928,2017,89,Jazz vocalist
Frank Sinatra ,1915,1998,83,Jazz vocalist
"Frank Sinatra, Jr. ",1944,2016,72,Jazz vocalist
Phoebe Snow ,1952,2011,59,Jazz vocalist
Jeri Southern ,1926,1991,65,Jazz vocalist
Dorothy Squires ,1915,1998,83,Jazz vocalist
Jo Stafford ,1917,2008,91,Jazz vocalist
Kay Starr ,1922,2016,94,Jazz vocalist
Dakota Staton ,1930,2007,77,Jazz vocalist
Maxine Sullivan ,1911,1987,76,Jazz vocalist
Sylvia Syms ,1934,1992,58,Jazz vocalist
Eva Taylor ,1895,1977,82,Jazz vocalist
Jack Teagarden ,1905,1964,59,Jazz vocalist
Leon Thomas ,1937,1999,62,Jazz vocalist
Kay Thompson ,1909,1998,89,Jazz vocalist
Teri Thornton ,1934,2000,66,Jazz vocalist
Martha Tilton ,1915,2006,91,Jazz vocalist
Radka Toneff ,1952,1982,30,Jazz vocalist
Mel Tormé ,1925,1999,74,Jazz vocalist
Arthur Tracy ,1899,1997,98,Jazz vocalist
Sophie Tucker ,1887,1966,79,Jazz vocalist
Big Joe Turner ,1911,1985,74,Jazz vocalist
Jerry Vale ,1930,2014,84,Jazz vocalist
Rudy Vallee ,1901,1986,85,Jazz vocalist
Frankie Vaughan ,1928,1999,71,Jazz vocalist
Sarah Vaughan ,1924,1990,66,Jazz vocalist
Marlene VerPlanck ,1933,2018,85,Jazz vocalist
Helen Ward ,1913,1998,85,Jazz vocalist
Dinah Washington ,1924,1963,39,Jazz vocalist
Ethel Waters ,1896,1977,81,Jazz vocalist
Joan Weber ,1935,1981,46,Jazz vocalist
Elisabeth Welch ,1904,2003,99,Jazz vocalist
Margaret Whiting ,1924,2011,87,Jazz vocalist
Lee Wiley ,1915,1975,60,Jazz vocalist
Danny Williams ,1942,2005,63,Jazz vocalist
Joe Williams ,1918,1999,81,Jazz vocalist
Midge Williams ,1915,1952,37,Jazz vocalist
Jimmy Witherspoon ,1920,1997,77,Jazz vocalist
Monica Zetterlund ,1937,2005,68,Jazz vocalist
Ludwig van Beethoven,1770,1827,57,Romantic composer
Ferdinando Carulli,1770,1841,71,Romantic composer
Édouard Du Puy,1770,1822,52,Romantic composer
Peter Hänsel,1770,1831,61,Romantic composer
James Hewitt,1770,1827,57,Romantic composer
Anton Reicha,1770,1836,66,Romantic composer
Christian Heinrich Rinck,1770,1846,76,Romantic composer
Jan August Vitásek,1770,1839,69,Romantic composer
Friedrich Witt,1770,1836,66,Romantic composer
Johann Baptist Cramer,1771,1858,87,Romantic composer
Ferdinando Paer,1771,1839,68,Romantic composer
Maria Frances Parke,1772,1822,50,Romantic composer
François-Louis Perne,1772,1832,60,Romantic composer
Josef Triebensee,1772,1846,74,Romantic composer
Johann Wilhelm Wilms,1772,1847,75,Romantic composer
Sophie Bawr,1773,1860,87,Romantic composer
Pietro Generali,1773,1832,59,Romantic composer
Václav Tomáš Matějka,1773,1830,57,Romantic composer
Bartolomeo Bortolazzi,1773,1820,47,Romantic composer
Pierre Rode,1774,1830,56,Romantic composer
Gaspare Spontini,1774,1851,77,Romantic composer
Václav Tomášek,1774,1850,76,Romantic composer
Christoph Ernst Friedrich Weyse,1774,1842,68,Romantic composer
Johann Anton André,1775,1842,67,Romantic composer
François-Adrien Boieldieu,1775,1834,59,Romantic composer
João Domingos Bomtempo,1775,1842,67,Romantic composer
Bernhard Crusell,1775,1838,63,Romantic composer
Sophia Dussek,1775,1847,72,Romantic composer
François de Fossa,1775,1849,74,Romantic composer
Ernst Theodor Amadeus Hoffmann,1776,1822,46,Romantic composer
Joseph Küffner,1776,1856,80,Romantic composer
Philipp Jakob Riotte,1776,1856,80,Romantic composer
Ignaz von Seyfried,1776,1841,65,Romantic composer
Ludwig Berger,1777,1839,62,Romantic composer
Pauline Duchambge,1778,1858,80,Romantic composer
Johann Nepomuk Hummel,1778,1837,59,Romantic composer
Sigismund von Neukomm,1778,1858,80,Romantic composer
Fernando Sor,1778,1839,61,Romantic composer
William Knyvett,1779,1856,77,Romantic composer
Louise Reichardt,1779,1826,47,Romantic composer
Luigi Antonio Calegari,1780,1849,69,Romantic composer
Conradin Kreutzer,1780,1849,69,Romantic composer
Louis François Dauprat,1781,1868,87,Romantic composer
Anton Diabelli,1781,1858,77,Romantic composer
Mauro Giuliani,1781,1828,47,Romantic composer
Anthony Heinrich,1781,1861,80,Romantic composer
Sophie Lebrun,1781,1863,82,Romantic composer
François Joseph Naderman,1781,1835,54,Romantic composer
Daniel Auber,1782,1871,89,Romantic composer
Carlo Coccia,1782,1873,91,Romantic composer
John Field,1782,1837,55,Romantic composer
Niccolò Paganini,1782,1840,58,Romantic composer
Charlotta Seuerling,1782,1828,46,Romantic composer
Friedrich Dotzauer,1783,1860,77,Romantic composer
Teresa Belloc-Giorgi,1784,1855,71,Romantic composer
Martin-Joseph Mengal,1784,1851,67,Romantic composer
Francesco Morlacchi,1784,1841,57,Romantic composer
George Onslow,1784,1853,69,Romantic composer
Ferdinand Ries,1784,1838,54,Romantic composer
Louis Spohr,1784,1859,75,Romantic composer
Alexandre Pierre François Boëly,1785,1858,73,Romantic composer
Bettina von Arnim,1785,1859,74,Romantic composer
Catherina Cibbini-Kozeluch,1785,1858,73,Romantic composer
Isabella Colbran,1785,1845,60,Romantic composer
Karol Kurpiński,1785,1857,72,Romantic composer
Marie Bigot,1785,1820,35,Romantic composer
Henry Bishop,1786,1855,69,Romantic composer
Friedrich Kuhlau,1786,1832,46,Romantic composer
Pietro Raimondi,1786,1853,67,Romantic composer
Carl Maria von Weber,1786,1826,40,Romantic composer
Alexander Alyabyev,1787,1851,64,Romantic composer
Michele Carafa,1787,1872,85,Romantic composer
Johann Peter Pixis,1788,1874,86,Romantic composer
Simon Sechter,1788,1867,79,Romantic composer
Elena Asachi,1789,1877,88,Romantic composer
Nicolas-Charles Bochsa,1789,1856,67,Romantic composer
Friedrich Ernst Fesca,1789,1826,37,Romantic composer
Maria Agata Szymanowska,1789,1831,42,Romantic composer
Harriet Browne,1790,1858,68,Romantic composer
Isaac Nathan,1790,1864,74,Romantic composer
Carl Czerny,1791,1857,66,Romantic composer
Ferdinand Hérold,1791,1833,42,Romantic composer
Giacomo Meyerbeer,1791,1864,73,Romantic composer
Franz Xaver Wolfgang Mozart,1791,1844,53,Romantic composer
Carlo Evasio Soliva,1791,1853,62,Romantic composer
Jan Václav Voříšek,1791,1825,34,Romantic composer
Gioachino Rossini,1792,1868,76,Romantic composer
Hedda Wrangel,1792,1833,41,Romantic composer
Cipriani Potter,1792,1871,79,Romantic composer
Gertrude van den Bergh,1793,1840,47,Romantic composer
Bernhard Klein,1793,1832,39,Romantic composer
Caroline Ridderstolpe,1793,1878,85,Romantic composer
Princess Amalie of Saxony,1794,1870,76,Romantic composer
Ignaz Moscheles,1794,1870,76,Romantic composer
Heinrich Marschner,1795,1861,66,Romantic composer
Saverio Mercadante,1795,1870,75,Romantic composer
Nikolaos Mantzaros,1795,1872,77,Romantic composer
Franz Berwald,1796,1868,72,Romantic composer
Helene Liebmann,1796,1835,39,Romantic composer
Carl Loewe,1796,1869,73,Romantic composer
Mathilda d'Orozco,1796,1863,67,Romantic composer
Giovanni Pacini,1796,1867,71,Romantic composer
Emilie Zumsteeg,1796,1857,61,Romantic composer
Luigi Castellacci,1797,1845,48,Romantic composer
Gaetano Donizetti,1797,1848,51,Romantic composer
Franz Schubert,1797,1828,31,Romantic composer
Annette von Droste-Hülshoff,1797,1848,51,Romantic composer
Antonio Rolla,1798,1837,39,Romantic composer
Olivia Buckley,1799,1847,48,Romantic composer
Maria Fredrica von Stedingk,1799,1868,69,Romantic composer
Fromental Halévy,1799,1862,63,Romantic composer
Oscar I of Sweden,1799,1859,60,Romantic composer
Vincenzo Bellini,1801,1835,34,Romantic composer
Tomasz Padura,1801,1871,70,Romantic composer
Jean-Baptiste Duvernoy,1802,1880,78,Romantic composer
Amédée Méreaux,1802,1874,72,Romantic composer
Cesare Pugni,1802,1870,68,Romantic composer
Eliza Flower,1803,1846,43,Romantic composer
Adolphe Adam,1803,1856,53,Romantic composer
Hector Berlioz,1803,1869,66,Romantic composer
Henri Herz,1803,1888,85,Romantic composer
Franz Lachner,1803,1890,87,Romantic composer
Louise Farrenc,1804,1875,71,Romantic composer
Mikhail Glinka,1804,1857,53,Romantic composer
Johann Strauss I,1804,1849,45,Romantic composer
Fanny Mendelssohn,1805,1847,42,Romantic composer
Leopold von Zenetti,1805,1892,87,Romantic composer
Napoléon Coste,1805,1883,78,Romantic composer
Juan Crisóstomo Arriaga,1806,1826,20,Romantic composer
Johann Kaspar Mertz,1806,1856,50,Romantic composer
Friedrich Burgmüller,1806,1874,68,Romantic composer
Carlo Curti,1807,1872,65,Romantic composer
Ignaz Lachner,1807,1895,88,Romantic composer
Michael William Balfe,1808,1870,62,Romantic composer
Sebastián Iradier,1809,1865,56,Romantic composer
Felix Mendelssohn,1809,1847,38,Romantic composer
Otto Lindblad,1809,1864,55,Romantic composer
Frédéric Chopin,1810,1849,39,Romantic composer
Ferenc Erkel,1810,1893,83,Romantic composer
Otto Nicolai,1810,1849,39,Romantic composer
Norbert Burgmüller,1810,1836,26,Romantic composer
Robert Schumann,1810,1856,46,Romantic composer
Ludwig Schuncke,1810,1834,24,Romantic composer
